Kategoria,Typ_zadania,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Wystapienia,Laczne_pkt
TEORIA,sledzenie_algorytmu,5,4,3,4,3,4,7,4,4,4,5,3,12/12 lat,50
TEORIA,projektowanie_algorytmu,6,3,4,4,6,5,5,4,4,3,3,4,12/12 lat,51
TEORIA,analiza_algorytmu,5,3,4,4,3,3,0,4,4,3,3,0,10/12 lat,36
TEORIA,test_prawda_falsz,3,4,3,3,3,2,2,2,2,0,1,2,11/12 lat,27
TEORIA,konwersja_systemow_liczbowych,1,1,1,0,0,1,1,1,1,2,2,2,10/12 lat,13
TEORIA,teoria_bezpieczenstwa,0,0,0,0,0,0,0,0,0,1,0,1,2/12 lat,2
IMPLEMENTACJA,przetwarzanie_cyfry_liczby,0,6,0,0,0,7,3,0,8,3,10,2,7/12 lat,39
IMPLEMENTACJA,przetwarzanie_napisy,6,0,12,0,11,0,8,2,0,0,0,2,6/12 lat,41
IMPLEMENTACJA,przetwarzanie_zlozone,0,0,0,0,0,0,12,4,4,5,0,11,5/12 lat,36
IMPLEMENTACJA,przetwarzanie_zliczanie,4,0,0,2,0,0,0,5,0,7,2,0,5/12 lat,20
IMPLEMENTACJA,przetwarzanie_minmax,0,6,0,2,0,0,0,0,0,5,2,2,5/12 lat,17
IMPLEMENTACJA,przetwarzanie_sekwencje,0,0,0,0,0,5,0,0,0,5,3,0,3/12 lat,13
IMPLEMENTACJA,przetwarzanie_obrazy_2D,0,0,0,7,0,0,0,0,0,0,0,4,2/12 lat,11
IMPLEMENTACJA,przetwarzanie_geometryczne,0,0,0,0,0,0,0,0,0,0,0,4,1/12 lat,4
ARKUSZ,arkusz_agregacja_warunkowa,2,2,3,0,2,2,5,7,7,1,4,3,11/12 lat,38
ARKUSZ,arkusz_symulacja,3,6,3,7,7,6,4,5,2,6,3,3,12/12 lat,55
ARKUSZ,arkusz_wykres,2,0,5,3,3,3,3,0,3,3,3,3,10/12 lat,31
ARKUSZ,arkusz_agregacja_podstawowa,2,5,0,2,0,0,0,0,0,0,0,0,3/12 lat,9
ARKUSZ,arkusz_transformacja,0,0,0,1,0,0,0,0,0,0,0,2,2/12 lat,3
SQL,sql_group_by,4,3,4,8,2,5,0,4,6,0,4,0,9/12 lat,40
SQL,sql_podzapytania,0,2,6,3,5,3,0,4,3,0,5,0,8/12 lat,31
SQL,sql_join,2,3,2,0,5,3,0,2,2,2,0,2,9/12 lat,23
SQL,sql_select_where,5,2,0,0,0,1,0,2,0,0,0,0,4/12 lat,10
