Kategoria,Typ_zadania,2014,2015,2016,2017,2018*,2019,2021,2022,2023,2024,2025,Wystapienia,Laczne_pkt
TEORIA,sledzenie_algorytmu,5,4,3,4,5,4,4,4,4,5,3,11/11,45
TEORIA,projektowanie_algorytmu,6,3,4,4,3,5,4,4,3,3,4,11/11,43
TEORIA,analiza_algorytmu,5,3,4,4,4,3,4,4,3,3,0,10/11,37
TEORIA,test_prawda_falsz,3,4,3,3,3,2,2,2,0,1,2,10/11,25
TEORIA,konwersja_systemow_liczbowych,1,1,1,0,0,1,1,1,2,2,2,9/11,12
TEORIA,teoria_bezpieczenstwa,0,0,0,0,0,0,0,0,1,0,1,2/11,2
IMPLEMENTACJA,przetwarzanie_cyfry_liczby,0,6,0,0,0,7,0,8,3,10,2,6/11,36
IMPLEMENTACJA,przetwarzanie_napisy,6,0,12,0,0,0,5,0,0,0,2,4/11,25
IMPLEMENTACJA,przetwarzanie_zlozone,0,0,0,0,0,0,4,4,5,0,11,4/11,24
IMPLEMENTACJA,przetwarzanie_zliczanie,4,0,0,2,0,0,2,0,7,2,0,5/11,17
IMPLEMENTACJA,przetwarzanie_minmax,0,6,0,2,0,0,0,0,5,2,2,5/11,17
IMPLEMENTACJA,przetwarzanie_sekwencje,0,0,0,0,0,5,0,0,5,3,0,3/11,13
IMPLEMENTACJA,przetwarzanie_obrazy_2D,0,0,0,7,0,0,0,0,0,0,4,2/11,11
IMPLEMENTACJA,obliczenia_geometryczne,0,0,0,0,0,0,0,0,0,0,4,1/11,4
ARKUSZ,arkusz_agregacja_warunkowa,5,2,3,0,0,6,7,7,1,4,3,9/11,38
ARKUSZ,arkusz_symulacja,0,6,3,7,0,2,5,2,6,3,3,9/11,37
ARKUSZ,arkusz_wykres,2,0,5,3,0,3,0,3,3,3,3,8/11,25
ARKUSZ,arkusz_agregacja_podstawowa,2,5,0,2,0,0,0,0,0,0,0,3/11,9
ARKUSZ,arkusz_transformacja,0,0,0,1,0,0,0,0,0,0,2,2/11,3
SQL,sql_group_by,4,3,4,8,0,3,4,6,0,4,0,8/11,36
SQL,sql_podzapytania,0,2,6,3,0,2,4,3,0,5,0,7/11,25
SQL,sql_join,2,3,2,0,0,6,2,2,2,0,2,8/11,21
SQL,sql_select_where,5,2,0,0,0,1,2,0,0,0,0,4/11,10
